ano,tipo_localizacao,rede,modalidade,grupo,percentual
2016,total,total,educacaoinfantil,1,46.6
2016,rural,municipal,educacaoinfantil,4,2.2
2016,urbana,municipal,educacaoinfantil,4,3.8000000000000003
2016,total,municipal,educacaoinfantil,4,3.6
2016,rural,estadual,educacaoinfantil,4,3.2
2016,urbana,estadual,educacaoinfantil,4,5.2
2016,total,estadual,educacaoinfantil,4,4.8
2016,rural,federal,educacaoinfantil,4,25
2016,urbana,federal,educacaoinfantil,4,12.700000000000001
2016,total,federal,educacaoinfantil,4,13
2016,rural,total,educacaoinfantil,4,2.2
2016,urbana,total,educacaoinfantil,4,4.2
2016,total,total,educacaoinfantil,4,4
2016,rural,pública,educacaoinfantil,3,14.3
2016,urbana,pública,educacaoinfantil,3,19
2016,total,pública,educacaoinfantil,3,18.400000000000002
2016,rural,privada,educacaoinfantil,3,10.9
2016,urbana,privada,educacaoinfantil,3,18
2016,total,privada,educacaoinfantil,3,18
2016,rural,municipal,educacaoinfantil,3,14.4
2016,total,privada,educacaoinfantil,4,4.8
2016,urbana,municipal,educacaoinfantil,3,18.900000000000002
2016,urbana,privada,educacaoinfantil,4,4.8
2016,total,pública,educacaoinfantil,4,3.6
2016,urbana,pública,educacaoinfantil,5,21.7
2016,total,pública,educacaoinfantil,5,25
2016,rural,privada,educacaoinfantil,5,63.1
2016,urbana,privada,educacaoinfantil,5,42.4
2016,total,privada,educacaoinfantil,5,42.5
2016,rural,municipal,educacaoinfantil,5,47.4
2016,urbana,municipal,educacaoinfantil,5,21.8
2016,total,municipal,educacaoinfantil,5,25
2016,rural,estadual,educacaoinfantil,5,71.60000000000001
2016,urbana,estadual,educacaoinfantil,5,11.200000000000001
2016,total,estadual,educacaoinfantil,5,25.400000000000002
2016,rural,federal,educacaoinfantil,5,0
2016,urbana,federal,educacaoinfantil,5,14.3
2016,total,federal,educacaoinfantil,5,14.1
2016,rural,total,educacaoinfantil,5,48.300000000000004
2016,urbana,total,educacaoinfantil,5,29.1
2016,total,total,educacaoinfantil,5,30.8
2016,rural,pública,educacaoinfantil,4,2.2
2016,urbana,pública,educacaoinfantil,4,3.8000000000000003
2016,rural,privada,educacaoinfantil,4,2.3000000000000003
2016,total,municipal,educacaoinfantil,3,18.400000000000002
2016,rural,pública,educacaoinfantil,5,47.800000000000004
2016,urbana,estadual,educacaoinfantil,3,21.400000000000002
2016,urbana,total,educacaoinfantil,2,0.4
2016,total,total,educacaoinfantil,2,0.4
2016,rural,pública,educacaoinfantil,1,35.5
2016,urbana,pública,educacaoinfantil,1,55.1
2016,total,pública,educacaoinfantil,1,52.7
2016,rural,privada,educacaoinfantil,1,23.5
2016,urbana,privada,educacaoinfantil,1,34.4
2016,rural,estadual,educacaoinfantil,3,8.700000000000001
2016,rural,municipal,educacaoinfantil,1,35.800000000000004
2016,urbana,municipal,educacaoinfantil,1,55.1
2016,total,municipal,educacaoinfantil,1,52.7
2016,rural,estadual,educacaoinfantil,1,16.4
2016,urbana,estadual,educacaoinfantil,1,61.4
2016,total,estadual,educacaoinfantil,1,50.7
2016,rural,federal,educacaoinfantil,1,66.7
2016,urbana,federal,educacaoinfantil,1,46.800000000000004
2016,total,federal,educacaoinfantil,1,47.2
2016,rural,total,educacaoinfantil,1,35.1
2016,urbana,total,educacaoinfantil,1,47.7
2016,rural,total,educacaoinfantil,2,0.2
2016,total,federal,educacaoinfantil,2,0.7000000000000001
2016,total,privada,educacaoinfantil,1,34.300000000000004
2016,rural,federal,educacaoinfantil,2,8.3
2016,urbana,federal,educacaoinfantil,2,0.6
2016,total,estadual,educacaoinfantil,3,18.400000000000002
2016,rural,federal,educacaoinfantil,3,0
2016,urbana,federal,educacaoinfantil,3,25.6
2016,total,federal,educacaoinfantil,3,25
2016,rural,total,educacaoinfantil,3,14.200000000000001
2016,total,total,educacaoinfantil,3,18.2
2016,rural,pública,educacaoinfantil,2,0.2
2016,urbana,pública,educacaoinfantil,2,0.4
